Name;Hitpoints;Hero;Level;Card1;Card2;Card3;Card4;Card5;Card6;Card7;Card8;Card9;Card10;Card11;Card12;Card13;Card14;Card15
TestA;50;Plain;6;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest;BarrierAllTest
TestB;50;Plain;6;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld;PlainWyld
Z__Y;50;Groc;6;HotIron Skeleton;Smelted Skeleton;Smelted Skeleton;Duoshot Ranger;Frog Outrunner;Frog Outrunner;Frog Outrunner;Frog Outrunner;Heoric Frog;Heoric Frog;Chaos Storm;Chaos Storm;Toxin Bullfrog;Frogling Mob;Mega Garganotos
40010319;50;Ursurio;5;Duoshot Ranger;Duoshot Ranger;Werewarg Alpha;Frog Outrunner;Frog Outrunner;Lilypad Leaper;Lilypad Leaper;Poliworg blitz;Sage of croaks;Mighty Clawkin;Wizen Sage of croaks;Mega Garganotos;Stone titan;Froglet Warmage;Rhythm of the Wyld
Abgro5;50;Ursurio;5;HotIron Skeleton;Smelted Skeleton;Water Elemental;Duoshot Ranger;Aegistone Druid;Tide Elemental;Frog Outrunner;elementalist;Silver Wind;Fowl Swarm;Chaos Storm;Ferocious Clawkin;Garganotos;Sapling;life Dragon
Pew_PewDie;50;Ursurio;5;HotIron Skeleton;Smelted Skeleton;Smelted Skeleton;Duoshot Ranger;Duoshot Ranger;Frog Outrunner;Frog Outrunner;Frog Outrunner;Frog Outrunner;Frog Outrunner;Heoric Frog;Heoric Frog;LightSworn Archer;Chaos Storm;Chaos Swell
Yazzum;50;Lich;6;Bolt Elemental;Bolt Elemental;Smelted Skeleton;Smelted Skeleton;Fire Devil;Fire Devil;Swiftfoot Ranger;Swiftfoot Ranger;Swiftfoot Ranger;Chaos Storm;Chaos Swell;Discordant Angel;Soul of Ash;Mega Garganotos;Hemorrhage Demon
